R526528,R842707
R779363,R928719
R385670,R967979
R685529,R660932
R555210,R719107
R325578,R748586
R917345,R910927
R231173,R218620
R258564,R601475
R715429,R848921
R737878,R401931
R282039,R659509
R977636,R992194
R617257,R823396
R509566,R515707
R543325,R336428
R597867,R944815
R597183,R846735
R541289,R959389
R512609,R934022
R373431,R309220
R811692,R666762
R899403,R151545
R444193,R992478
R219239,R908785
R192439,R577607
R934716,R306383
R955157,R264777
R677367,R422693
R250998,R691703
R912052,R292589
R159060,R378370
R724790,R833527
R571373,R647001
R134039,R750865
R174046,R531508
R889370,R438802
R713391,R402768
R645333,R330620
R302785,R155317
R337477,R538507
R972497,R573667
R308448,R790958
R957598,R733757
R351613,R990796
R664244,R230506
R270683,R440052
R246187,R693570
R244047,R756151
R386451,R624608
R663335,R467970
R132528,R279285
R936084,R556546
R728840,R543000
R882571,R361201
R719731,R256092
R703484,R476742
R517644,R143660
R126920,R685197
R873870,R968777
R621960,R423101
R119190,R896817
R670709,R114467
R209177,R345097
R152429,R657260
R228804,R339297
R637460,R942022
R556188,R415315
R745289,R765542
R737821,R498949
R511889,R478514
R936789,R955912
R997238,R618105
R888583,R542861
R122670,R820742
R326138,R141027
R353849,R687179
R596959,R547993
R471413,R199629
R444237,R269391
R989978,R680396
R692957,R966465
R450321,R741986
R580398,R274136
R898196,R948702
R516588,R315915
R211598,R651031
R690471,R510155
R269816,R686791
R197294,R856762
R241701,R893399
R441497,R556185
R603877,R352062
R693349,R220687
R663671,R684503
R316517,R982731
R785091,R877497
R499932,R296966
R152123,R877488
R635118,R294879
R230363,R726775
R102121,R229363
R958692,R658304
R614552,R500209
R552004,R484813
R619953,R157396
R126306,R439883
R240312,R133158
R517524,R896945
R151562,R224028
R966374,R684312
R880749,R396735
R848795,R801881
R178328,R614890
R163526,R397452
R746493,R732517
R852584,R418198
R243176,R937643
R975209,R203562
R583873,R244034
R438466,R207321
R424127,R582855
R467276,R183955
R506564,R365188
R395369,R233326
R635509,R597594
R602903,R529017
R351468,R214647
R815549,R524968
R246733,R628408
R112999,R930810
R936287,R934242
R285671,R834478
R365165,R939454
R160766,R437110
R634488,R765623
R192763,R676084
R985090,R639491
R402354,R414824
R240813,R341670
R844231,R796432
R193051,R165045
R394645,R191637
R118510,R554079
R525641,R141483
R824470,R925541
R527349,R301737
R350733,R581800
R402442,R473877
R683580,R257542
R907043,R131047
R190179,R490103
R427092,R704667
R516705,R721097
R135969,R372461
R193823,R537866
R211558,R845554
R154145,R214241
R543138,R148667
R914102,R813988
R772685,R392229
R263414,R542487
R364256,R295940
R113756,R350691
R599359,R348471
R839420,R157752
R183355,R145048
R280404,R681799
R302840,R632672
R755048,R800373
R271726,R814002
R964198,R986427
R510733,R362548
R393214,R416403
R272386,R319212
R630819,R374788
R663137,R612331
R711939,R610198
R972845,R812581
R829667,R588972
R205373,R674847
R968458,R303782
R701971,R276842
R743910,R760898
R997380,R996532
R476162,R435196
R747005,R209450
R917551,R124848
R177230,R977815
R495898,R452462
R343138,R995825
R245975,R280825
R487983,R130838
R638666,R138676
R554521,R104200
R278460,R671101
R514717,R253692
R310852,R541585
R627643,R797289
R612610,R396353
R482776,R242480
R676244,R455921
R408305,R736823
R963532,R699594
R861162,R397507
R837915,R774439
R378738,R974067
R878834,R384166
R811926,R740929
R569910,R839860
R981790,R644170
R243774,R471115
R941341,R147515
R646467,R235227
R287679,R429691
R484798,R200322
R998969,R680585
R929164,R683148
R169258,R929348
R331863,R119461
R143789,R585883
R114723,R702610
R959604,R670415
R567548,R800334
R227147,R460586
R898577,R374942
R203501,R302634
R813149,R761584
R700971,R590674
R252574,R687892
R854721,R696024
R970322,R165624
R120040,R884035
R253869,R371336
R139358,R254561
R733090,R732887
R219821,R294162
R983205,R570581
R150275,R129366
R252654,R864476
R787373,R628977
R908746,R213197
R798646,R540029
R531968,R421617
R938009,R628661
R587569,R260990
R925263,R738022
R378131,R399799
R641302,R329904
R431193,R131512
R912809,R588292
R832788,R707949
R877596,R656362
R113364,R969799
R958072,R739835
R967822,R991592
R146081,R666708
R542133,R509127
R781186,R502621
R222955,R469946
R853972,R212572
R646516,R417623
R180043,R248381
R555781,R414486
R580692,R976304
R176665,R884716
R162514,R268490
R995218,R606581
R277785,R912469
R930274,R810943
R884067,R484805
R156860,R676797
R434381,R299768
R641007,R444021
R847879,R676883
R379486,R140998
R535936,R810473
R238850,R282881
R721164,R994184
R919564,R479224
R465884,R755003
R255754,R685559
R127577,R651470
R219032,R904957
R159091,R155248
R674996,R684498
R684372,R201981
R550799,R147162
R437041,R929381
R477223,R504517
R602952,R505858
R815701,R562883
R220607,R188903
R114620,R560551
R658898,R495852
R253923,R735147
R464686,R785002
R411117,R121984
R978360,R755646
R304144,R780005
R748256,R907204
R145879,R765562
R305156,R531728
R289536,R368420
R646588,R831343
R623968,R741823
R559067,R716622
R793143,R180635
R779983,R977323
R739525,R942973
R111877,R827821
R505646,R155503
R600280,R603999
R199537,R511254
R436469,R738610
R570640,R467791
R704882,R440593
R300642,R618324
R664314,R194611
R471639,R250362
R228485,R296234
R323433,R563294
R511919,R452178
R284533,R675860
R417995,R323178
R137167,R694648
R369905,R388802
R285396,R890011
R175289,R475166
R830481,R525227
R362513,R801724
R375035,R293832
R682388,R548000
R695627,R472954
R541695,R889286
R310319,R970765
R765704,R481404
R677349,R590825
R726744,R262994
R777626,R558337
R171186,R143295
R468600,R442366
R640620,R401653
R669451,R851657
R587394,R839233
R105993,R958326
R409031,R290890
R576228,R328276
R215378,R616837
R556240,R878652
R281041,R588982
R209763,R230320
R763998,R484773
R164809,R315182
R760191,R742418
R305896,R127933
R588035,R837747
R857042,R113488
R188369,R416442
R810788,R406053
R881795,R124096
R934402,R538884
R793510,R447834
R256875,R101092
R147804,R171528
R387857,R890056
R484345,R820181
R595608,R132687
R329722,R118189
R737237,R316705
R125237,R457394
R414848,R121293
R870853,R723137
R410583,R574380
R450778,R932150
R191702,R590860
R987680,R171074
R541481,R924355
R867090,R212971
R786809,R375705
R700521,R389669
R177908,R739374
R660927,R214603
R120751,R725001
R994209,R479061
R284290,R103282
R703368,R306420
R958856,R963065
R412525,R769987
R231986,R302385
R880104,R793206
R611805,R754236
R321269,R135931
R102267,R264510
R741272,R427473
R803347,R312395
R379443,R335127
R914295,R350072
R737084,R235436
R590493,R817224
R588139,R544939
R692695,R106352
R760091,R677117
R505743,R833230
R451868,R553686
R448518,R935056
R484462,R562054
R228926,R172319
R415158,R895335
R143941,R271234
R284287,R805947
R526375,R452791
R802682,R808586
R656258,R915227
R426480,R841638
R286770,R223043
R462857,R199446
R774860,R633341
R622380,R903416
R320979,R169543
R269072,R814458
R879853,R392600
R780102,R715646
R467745,R349052
R305782,R480988
R765187,R575093
R627208,R742972
R403778,R829790
R995821,R679277
R580803,R865500
R632544,R126345
R287006,R334656
R872145,R480314
R141864,R543919
R413333,R566663
R841339,R453492
R993851,R854264
R266362,R694806
R698705,R983948
R971441,R653069
R156456,R331261
R233511,R213255
R455531,R442057
R722386,R440275
R993011,R923848
R646102,R963843
R195177,R756290
R252579,R133887
R185707,R361967
R642660,R484182
R300327,R388581
R676650,R247832
R805805,R903329
R844256,R298288
R415696,R465762
R826682,R609867
R114328,R158761
R547590,R784640
R164640,R706444
R724024,R587461
R207898,R155255
R631093,R644700
R865912,R509413
R487439,R867474
R113543,R673286
R548336,R695537
R410468,R104854
R954395,R725290
R871985,R511349
R342191,R607542
R570490,R482234
R895002,R376476
R238140,R169821
R784806,R312694
R917379,R938659
R949356,R832825
R582223,R871857
R991924,R108285
R267231,R919939
R636617,R206284
R671486,R632864
R262902,R766764
R783801,R893489
R194595,R255316
R713370,R187340
R699974,R290763
R285438,R695724
R693335,R657367
R682822,R720491
R161646,R465536
R327260,R418576
R543446,R963702
R840447,R507954
R435164,R127756
R495413,R802864
R772472,R241970
R217188,R934539
R589680,R904843
R632382,R737329
R502295,R646784
R849121,R749770
R889548,R438402
R967454,R899307
R671291,R369780
R602794,R944491
R211638,R437333
R504095,R738453
R427765,R144975
R237861,R909932
R921400,R852934
R966428,R588910
R432759,R240381
R254005,R562493
R649434,R308402
R474817,R960051
R297228,R159827
R356235,R359369
R993937,R812780
R613360,R292630
R460872,R824711
R966151,R886657
R425881,R903151
R892022,R837415
R381978,R433312
R697496,R205923
R179086,R805474
R511643,R455153
R707064,R992149
R857325,R213498
R170320,R554029
R308987,R619444
R858556,R736981
R618498,R305900
R778460,R352865
R976456,R703117
R264597,R830865
R748579,R804838
R287963,R606923
R744552,R913225
R823562,R338882
R894764,R682214
R173354,R680932
R559093,R777888
R227315,R484278
R251242,R740488
R257365,R566882
R608874,R801122
R103659,R758598
R761831,R329186
R596505,R534978
R284571,R176991
R859487,R535737
R458648,R900103
R860005,R788228
R709232,R257511
R904983,R675944
R908090,R485631
R819512,R878047
R186361,R556765
R199549,R805201
R240036,R729099
R220823,R328476
R765267,R147633
R935954,R429661
R858479,R143416
R705391,R928884
R267292,R678129
R449310,R829546
R929985,R782754
R331545,R293558
R234155,R884838
R910466,R642903
R418690,R456653
R395115,R145671
R210029,R418733
R544211,R980362
R897086,R998495
R480230,R350800
R560002,R574725
R176021,R298774
R159918,R206283
R828568,R898426
R197324,R577157
R143411,R611304
R336061,R681852
R352689,R176451
R770781,R645249
R463179,R990254
R744569,R359213
R128912,R887452
R328694,R925980
R885003,R823941
R908333,R827106
R812616,R613324
R237649,R565329
R578640,R934675
R722516,R100733
R612974,R777759
R330551,R698895
R535383,R216801
R653479,R314808
R813557,R407418
R845912,R554894
R998669,R509119
R195971,R624064
R535533,R193069
R379449,R895038
R716993,R943696
R247305,R561506
R630086,R745101
R137088,R358683
R127368,R382885
R669526,R674675
R485284,R977205
R799166,R445943
R989291,R138573
R662931,R361011
R558846,R545601
R326610,R646234
R508162,R756592
R125778,R127571
R678302,R753463
R577795,R589012
R226739,R156049
R121891,R765167
R396598,R261276
R681257,R226540
R772887,R492337
R541965,R807925
R949687,R946409
R822353,R128854
R456068,R473280
R353697,R171502
R437998,R735976
R236493,R861744
R101283,R798877
R263385,R184399
R975754,R672803
R525473,R638558
R610562,R252616
R992786,R332414
R163923,R266193
R220724,R513089
R319575,R667873
R463541,R981201
R206198,R974406
R220861,R974526
R156581,R375112
R486755,R689323
R500239,R301693
R716485,R351751
R759660,R521177
R420944,R556335
R895927,R834970
R279637,R429951
R162289,R297788
R921815,R146327
R611596,R184360
R672095,R975074
R882307,R469578
R980875,R515598
R767335,R706575
R962312,R681752
R773660,R329269
R126923,R590523
R596282,R797966
R755370,R762474
R600271,R939303
R334822,R589963
R286281,R216895
R400885,R231679
R284537,R694678
R209342,R169134
R989858,R610241
R157596,R438134
R823018,R104379
R160745,R751030
R346033,R893448
R893227,R237789
R319816,R460475
R877659,R546894
R755626,R340300
R318420,R727491
R719442,R485470
R135884,R883001
R358367,R194692
R284665,R178126
R185042,R490908
R124656,R621394
R458078,R598446
R773073,R899924
R374508,R840977
R544390,R203854
R898187,R125156
R626380,R468070
R983348,R876612
R558853,R452177
R926742,R955693
R955596,R976617
R270111,R978545
R891182,R589092
R988322,R150450
R233047,R656169
R244279,R674534
R270951,R284045
R345770,R838140
R918250,R131709
R120658,R591565
R471057,R234829
R911023,R864274
R578520,R593284
R574673,R838879
R662773,R181026
R131019,R818515
R212354,R598648
R957153,R853075
R856403,R915135
R575206,R924903
R879216,R442294
R490345,R533461
R785032,R496304
R587787,R241589
R439853,R845008
R734763,R256111
R657832,R519850
R445602,R560436
R586319,R631331
R478150,R218902
R667065,R662291
R439221,R339207
R602565,R852344
R622845,R821151
R415666,R189312
R155578,R944424
R906121,R653051
R639573,R335583
R881759,R548230
R498270,R580601
R896716,R417247
R800203,R296385
R428079,R824037
R568689,R923984
R864073,R147552
R758530,R528629
R272674,R479797
R508011,R675073
R966084,R759681
R314223,R401693
R399649,R422433
R400395,R821254
R679644,R706478
R621136,R581126
R982953,R383813
R706346,R839239
R245589,R410864
R235151,R798950
R630290,R397315
R470440,R449490
R420498,R672090
R597942,R147368
R360885,R241895
R961266,R456139
R291902,R349280
R534706,R150669
R994022,R998253
R729476,R710808
R814952,R184687
R459664,R268407
R100347,R247499
R218187,R673262
R548804,R748988
R371754,R272692
R557145,R272792
R321476,R382980
R882843,R351194
R960630,R489533
R742281,R476188
R241406,R840621
R842542,R425636
R679011,R165388
R443377,R575875
R246596,R218371
R258683,R666994
R639219,R682527
R878116,R558778
R477869,R940871
R816738,R998826
R211565,R566216
R575758,R876499
R258191,R698177
R351889,R763297
R432229,R878524
R908508,R920198
R414724,R629502
R935672,R782734
R460967,R229463
R928924,R219387
R279528,R111392
R365867,R714888
R370510,R482206
R286894,R900924
R923396,R784260
R350283,R266433
R979250,R142165
R792773,R618231
R507550,R214259
R799517,R275289
R642410,R574390
R448464,R222416
R337142,R838991
R500639,R288526
R486339,R993262
R720683,R748662
R323147,R117629
R606698,R104704
R730573,R619674
R790621,R231709
R915621,R676706
R200169,R892414
R432451,R742720
R724021,R376511
R780032,R140862
R930600,R876320
R435702,R187013
R795390,R238686
R337871,R148047
R471709,R966892
R919663,R751632
R599117,R567564
R665365,R815780
R854833,R830074
R652326,R480473
R784555,R292178
R396665,R739608
R870769,R294242
R155661,R525518
R474441,R964891
R191193,R578082
R287147,R526176
R540231,R644892
R403053,R642017
R583330,R460536
R287766,R447139
R703968,R598875
R826760,R859670
R162390,R721284
R962695,R905588
R925986,R519623
R428422,R974528
R436878,R411442
R473814,R365119
R215898,R681435
R608491,R963245
R280230,R665364
R199568,R859911
R310668,R831286
R864546,R532642
R429118,R798814
R107799,R135770
R283011,R172225
R923336,R129308
